Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/vetements-homme/djellaba-lourde-5077966,Djellaba lourde,18000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5034670,vêtements homme,15000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/vetements-homme-5034681,vêtements homme,7500.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-5079611,Ensemble homme,15000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/slip-pour-homme-5035627,Slip  pour homme,1100.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pantalons-kaki-5080317,Pantalons kaki,6000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/collant-pull-a-col-rouler-homme-5080853,collant pull a col rouler homme,5000.0,"Parcelle Assainies, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/chemise-carreaux-5081925,chemise carreaux,9000.0,"Parcelle Assainies, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/ensemble-costumes-turquie-5081966,Ensemble costumes turquie,45000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/t-shirts-homme-5038258,T-shirts homme,6000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/tenue-africain-5082376,Tenue africain,25000.0,"Keur Massar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pullovers-capuchons-bombeuz-5083171,Pullovers capuchons bombeuz,7000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pantalon-cargo-5083540,Pantalon cargo,9000.0,"Sicap Liberté, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pull-homme-5040404,Pull homme,10000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5040487,Vétement homme,10000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pull-a-col-roule-5084245,Pull à col roulé,6000.0,"Guediawaye, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pull-en-jeans-5084952,Pull en jeans,14000.0,"Damel, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/chemise-carreaux-5085151,chemise carreaux,8000.0,"Damel, Dakar, Sénégal",
