Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-5283005,Robes enfant,,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/robes-enfant-5283049,Robes enfant,,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3462499,Chaussures enfant,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3462501,Chaussures enfants,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/robe-afne-5243665,Robe Afne,15000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/sous-vetement-enfant-5256504,Sous vetement enfant,1000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/ballerines-enfant-3468451,Ballerines enfant,10000.0,"Ouest Foire, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3475296,Chaussures enfant,,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/djalaba-5257015,Djalaba,7500.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-pour-enfants-3481315,Sandales pour enfants,1000.0,"Patte d'oie, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/abaya-pour-anfna-5263587,Abaya pour Anfna,10000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/souliers-enfants-3486610,Souliers enfants,15000.0,"Dieuppeul-Derklé, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/chemise-enfants-5263591,Chemise enfants,15000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-en-cuir-3495410,Chaussures  en cuir,12000.0,"Grand Yoff, Dakar, Sénégal",
